Edition,Base,Head,Face,Mouth,Eyes,Accessory,Clothing,Background,Signature
0,The Greatest,Sparring Headgear,,Medal,,,Navy Suit,Purple,Dosbrak
1,The Greatest,Halo,Moustache,,,Speed Ball,Elvis Gown,Solana,Dosbrak
2,The Greatest,,Moustache,Medal,,Shook Up The World,Peach Suit,Orange,Dosbrak
3,Underwater,,Sweat,,,,,Solana,Dosbrak
4,The Greatest,Sparring Headgear,Scratch,,,Lightbulbs & Wings,Peach Suit,Purple,Dosbrak
5,The Greatest,,,,,Mirror,Purple Suit,USA,Dosbrak
6,The Greatest,Hat,Sweat,Locked,,Black Gloves,,Red,Dosbrak
7,Underwater,Halo,Sweat,,,Speed Ball,,Purple,Dosbrak
8,The Greatest,Sparring Headgear,,GOAT Mouthguard,Bruised Eye,Black Gloves,Peach Suit,Gold,Dosbrak
9,The Greatest,Crown GOAT,,Medal,Wayfarers,,The King's Gown,Orange,Dosbrak
10,The Greatest,,Scratch,GOAT Mouthguard,,Red Gloves,,Orange,Dosbrak
11,The Greatest,,Scratch,,Bruised Eye,Red Gloves,Gold Suit,Black,Dosbrak
12,Underwater,,Sweat,Medal,,Towel,,Solana,Dosbrak
13,The Greatest,Hat,Scratch,,,Red Gloves,,Red,Dosbrak
14,The Greatest,Hat,,,,Postage Stamp,Purple Suit,Orange,Dosbrak
15,The Greatest,,,GOAT Mouthguard,,Towel,,Black,Dosbrak
16,The Greatest,,Sweat,,Wayfarers,Lightbulbs & Wings,,Black,Dosbrak
17,Butterflies and Bees,,,,Wayfarers,Towel,,Orange,Dosbrak
18,The Greatest,,,,,Red Gloves,Navy Suit,Purple,Dosbrak
19,Butterflies and Bees,,,,Side Eyes,Postage Stamp,Gown,Orange,Dosbrak
20,The Greatest,Halo,,,,Microphones,Gown,Black,Dosbrak
21,The Greatest,,,,,Diamond Gloves,Peach Suit,Black,Dosbrak
22,The Greatest,Crown GOAT,Sweat,,,Towel,,Solana,Dosbrak
23,The Greatest,Sparring Headgear,,,,Towel,,Red,Dosbrak
24,The Greatest,Crown GOAT,Sweat,,Bruised Eye,Black Gloves,,Red,Dosbrak
25,Butterflies and Bees,,,Medal,Side Eyes,Speed Ball,Gown,Purple,Dosbrak
26,The Greatest,,,GOAT Mouthguard,,,Peach Suit,Red,Dosbrak
27,The Greatest,,,,,Mirror,,Red,Dosbrak
28,Butterflies and Bees,Halo,Scratch,,Bruised Eye,Towel,,Red,Dosbrak
