Edition,Base,Head,Face,Mouth,Eyes,Accessory,Clothing,Background,Signature
0,Standard,Announcer,,,Bruised Eye,Gloves,Bloody Body,Mustard,Dosbrak
1,Standard,Sparring Headgear,,Cigar,,199 Belt,,Octagon,Dosbrak
2,Old Mike,Sparring Headgear,,,,,,Teal,Dosbrak
3,Old Mike,,Red Terminator,,,,,Teal,Dosbrak
4,Standard,,,,Wayfarers,SOL Gloves,Bloody Body,Purple,Dosbrak
5,Standard,,Bloody,Cigar,,Microphone,Suit,Mustard,Dosbrak
6,Bald,,Bloody,,,,Jiu Jitsu Robe,Teal,Dosbrak
7,Standard,,,,,Bloody Wraps,Patriot Flag,Black,Dosbrak
8,Bald,,Red Terminator,,,Knuckle Duster Spikes,Patriot Flag,Mustard,Dosbrak
9,Bald,Snapback,,,,Bare Fists,Bloody Body,Purple,Dosbrak
10,Bald,,,Falling Mouthguard,,Bloody Gloves,Suit,Mustard,Dosbrak
11,Standard,Announcer,,,,Knuckle Duster Spikes,Jiu Jitsu Robe,Purple,Dosbrak
12,Bald,Snapback,,Diamond Grill,,,Tattoo,Red,Dosbrak
13,Bald,,,,,SOL Gloves,,Teal,Dosbrak
14,Standard,Announcer,,,,Bare Fists,,Teal,Dosbrak
15,Bald,,Bloody,,Wayfarers,Bloody Wraps,Suit,Red,Dosbrak
16,Bald,,,Cigar,,Bloody Wraps,Punk Jacket,Black,Dosbrak
17,Standard,,,Cigar,,,Butcher,Red,Dosbrak
18,Bald,,,,,,The Count,Purple,Dosbrak
19,Standard,,,Diamond Grill,,,Punk Jacket,Black,Dosbrak
20,Bald,,,,,,Butcher,Mustard,Dosbrak
21,Bald,Snapback,,,,Gold Gloves,Patriot Flag,Black,Dosbrak
22,Old Mike,DJ Mikey B,,,,Gold Gloves,,Black,Dosbrak
23,Standard,DJ Mikey B,,,,Gold Gloves,Jiu Jitsu Robe,Purple,Dosbrak
24,Standard,,Gold Terminator,,,199 Belt,Patriot Flag,Black,Dosbrak
25,Standard,Sparring Headgear,,,,,,Mustard,Dosbrak
26,Bald,,,,,Gloves,Bloody Body,Red,Dosbrak
27,Old Mike,,Bloody,,,Knuckle Duster Spikes,Suit,Teal,Dosbrak
28,Standard,,Red Terminator,Falling Mouthguard,,Bare Fists,Patriot Flag,Teal,Dosbrak
29,Bald,,Bloody,Diamond Grill,Laser Eyes,Bloody Gloves,Jiu Jitsu Robe,Purple,Dosbrak
30,Standard,,,Cigar,Laser Eyes,,Butcher,Purple,Dosbrak
31,Standard,,,,,Bloody Wraps,Jiu Jitsu Robe,Black,Dosbrak
32,Bald,,,,,Bloody Wraps,,Purple,Dosbrak
33,Bald,Announcer,Bloody,Diamond Grill,,Knuckle Duster Spikes,Bloody Body,Red,Dosbrak
34,Old Mike,DJ Mikey B,Bloody,Falling Mouthguard,,Gloves,,Teal,Dosbrak
35,Bald,,,,,Bloody Gloves,Tattoo,Black,Dosbrak
36,Standard,,Red Terminator,,,Bare Fists,Jiu Jitsu Robe,Teal,Dosbrak
37,Standard,Snapback,,Diamond Grill,,Gold Gloves,Tattoo,Black,Dosbrak
38,Standard,,,,Bruised Eye,,,Teal,Dosbrak
39,Standard,,,,Wayfarers,Bloody Wraps,Patriot Flag,Octagon,Dosbrak
40,Standard,,,,Bruised Eye,Bare Fists,Tattoo,Purple,Dosbrak
41,Standard,Sparring Headgear,,,,Knuckle Duster Spikes,,Purple,Dosbrak
42,Standard,,Red Terminator,Falling Mouthguard,,,Punk Jacket,Red,Dosbrak
43,Bald,,Bloody,,Wayfarers,Bloody Gloves,Bloody Body,Black,Dosbrak
44,Standard,,,,Wayfarers,Bloody Gloves,Jiu Jitsu Robe,Red,Dosbrak
45,Standard,DJ Mikey B,Bloody,,,Microphone,Suit,Teal,Dosbrak
46,Standard,,,,,199 Belt,,Teal,Dosbrak
47,Bald,,,,Laser Eyes,,,Red,Dosbrak
48,Bald,,,,,Gloves,Tattoo,Octagon,Dosbrak
49,Standard,,Bloody,,,SOL Gloves,Bloody Body,Purple,Dosbrak
50,Standard,,,,,,,Octagon,Dosbrak
51,Standard,,,Cigar,Bruised Eye,199 Belt,Suit,Teal,Dosbrak
52,Standard,DJ Mikey B,Red Terminator,,,Bloody Gloves,Jiu Jitsu Robe,Black,Dosbrak
53,Standard,DJ Mikey B,,,,,Suit,Purple,Dosbrak
54,Bald,Announcer,,,Bruised Eye,,Punk Jacket,Black,Dosbrak
