Edition,Base,Head,Face,Mouth,Eyes,Accessory,Clothing,Background,Signature
0,Old,,,Solana Mouthguard,Eye Injury,Ball,NZ Jersey,Purple,Dosbrak
1,Standard,Hat,,,,Boom Box,Solana Jersey,Blue,Dosbrak
2,Standard,,Haka,,,Crown Ball,CM Jersey,Orange,Dosbrak
3,Young,,Haka,,,Gold Chain,NZ Jersey,Black,Dosbrak
4,Young,,,,Laser Eyes,Old Ball,Solana Jersey,Red,Dosbrak
5,Standard,,,,,Gold Chain,Yellow Jersey,Orange,Dosbrak
6,Old,,,,,Ball,Blue Suit,Blockasset,Dosbrak
7,Young,,,,Eye Injury,Fire Ball,Solana Jersey,Blue,Dosbrak
8,Old,Headband,Haka,,,,NZ Away Jersey,Black,Dosbrak
9,Standard,Hat,Haka,,,Fire Ball,CM Jersey,Purple,Dosbrak
10,Standard,Headband,,,Wayfarers,Boots,NZ Jersey,Purple,Dosbrak
11,Standard,BA Snapback,,,,Crown Ball,Shirt,Black,Dosbrak
12,Standard,,Sweat,,Wayfarers,NZ Ball,CM Jersey,Blue,Dosbrak
13,Standard,,,NZ Mouth Guard,,Crown Ball,NZ Away Jersey,Blue,Dosbrak
14,Standard,Headband,,,,Boom Box,NZ Away Jersey,Orange,Dosbrak
15,Young,BA Snapback,,,Laser Eyes,Ball,Blue Suit,Blockasset,Dosbrak
16,Standard,Headband,,,,Gold Chain,Shirt,Purple,Dosbrak
17,Old,Hat,,,,,Blue Suit,Black,Dosbrak
18,Standard,Hat,,,,Ball,Shirt,Purple,Dosbrak
19,Old,,,,,,NZ Away Jersey,Black,Dosbrak
20,Standard,Hat,,Diamond Grill,,NZ Ball,NZ Away Jersey,Purple,Dosbrak
21,Standard,,,,Wayfarers,Old Ball,Blue Suit,Orange,Dosbrak
22,Old,,,NZ Mouth Guard,,,Blue Suit,Blockasset,Dosbrak
23,Standard,,Haka,,,Gold Chain,NZ Jersey,Red,Dosbrak
24,Standard,,Sweat,,,Old Ball,NZ Jersey,Purple,Dosbrak
25,Standard,,Haka,,,,NZ Jersey,Orange,Dosbrak
26,Standard,,,,,NZ Ball,Black Tie,Black,Dosbrak
27,Standard,Hat,Sweat,,,NZ Ball,NZ Jersey,Purple,Dosbrak
28,Standard,,,Diamond Grill,,,Solana Jersey,Orange,Dosbrak
29,Old,Headband,,,,,Yellow Jersey,Blue,Dosbrak
30,Standard,Headband,,,,,NZ Away Jersey,Red,Dosbrak
31,Standard,Crown,,NZ Mouth Guard,,Boom Box,NZ Away Jersey,Purple,Dosbrak
