Edition,Base,Head,Face,Mouth,Eyes,Accessory,Clothing,Background,Signature
0,Standard,,,Gold Teeth,,Gold Stick,Black Jersey,Green,Dosbrak
1,Standard,BA Snapback ,,,Laser Eyes,Raining Pucks,Red Jersey,Black,Dosbrak
2,Standard,Russian Hat,Bloody,,Wayfarers,Raining Pucks,Patriot,Green,Dosbrak
3,Standard,,Sweat,,,Gold Stick,Red Jersey,Orange,Dosbrak
4,Standard,Russian Hat,,,Wayfarers,Raining Pucks,White Jersey,Green,Dosbrak
5,Standard,,,,Bruised Eye,Ice Stick,Suit,Green,Dosbrak
6,Old,Hockey Helmet black,Sweat,,Wayfarers,Diamond Stick,Red Jersey,Blue,Dosbrak
7,Standard,,,,Bruised Eye,Raining Pucks,White Jersey,Green,Dosbrak
8,Old,,Bloody,,,Bloody Glove,Red Jersey,Orange,Dosbrak
9,Standard,,Sweat,,,Ice Stick,Black Jersey,Green,Dosbrak
10,Old,Hockey Helmet black,Sweat,,,Gold Stick,Red Jersey,Blue,Dosbrak
11,Standard,,,,Bruised Eye,Gold Glove,Blue Jersey,Green,Dosbrak
12,Standard,Hockey Helmet black,,Jaws,,Bloody Glove,Suit,Red,Dosbrak
13,Old,BA Snapback ,Bloody,,Bruised Eye,Bloody Glove,Black Jersey,Orange,Dosbrak
14,Old,,Sweat,,,Ice Stick,Red Jersey,Black,Dosbrak
15,Standard,Russian Hat,Bloody,Jaws,,,Blue Jersey,Green,Dosbrak
16,Standard,Russian Hat,,,,Bloody Glove,Suit,Blockasset,Dosbrak
17,Standard,,,,,Bloody Glove,Black Jersey,Black,Dosbrak
18,Standard,,Bloody,,Bruised Eye,Gold Stick,Blue Jersey,Red,Dosbrak
19,Standard,Russian Hat,,Jaws,,Dentist,Patriot,Green,Dosbrak
20,Standard,,,,,Fire Stick,The Red Machine,Black,Dosbrak
21,Standard,Russian Hat,Sweat,,Wayfarers,,Blue Jersey,Blockasset,Dosbrak
22,Old,Russian Hat,Sweat,Gold Teeth,,Gold Stick,Black Jersey,Blue,Dosbrak
23,Standard,Russian Hat,Bloody,,Laser Eyes,Fire Stick,Blue Jersey,Orange,Dosbrak
24,Old,Russian Hat,,,,Gold Glove,Blue Jersey,Green,Dosbrak
25,Standard,Hockey Helmet black,,,Wayfarers,Gold Stick,Patriot,Green,Dosbrak
26,Standard,Russian Hat,Sweat,Jaws,,Bloody Glove,White Jersey,Black,Dosbrak
27,Standard,BA Snapback ,,Jaws,,Gold Glove,White Jersey,Green,Dosbrak
28,Standard,,Bloody,,,,Red Jersey,Blue,Dosbrak
29,Standard,,,,Wayfarers,Ice Stick,White Jersey,Blockasset,Dosbrak
30,Young,,Bloody,,,,Black Jersey,Red,Dosbrak
31,Standard,BA Snapback ,,,,Diamond Stick,Astronaut,Blue,Dosbrak
32,Standard,Russian Hat,,Jaws,Bruised Eye,Ice Stick,Red Jersey,Green,Dosbrak
33,Old,Hockey Helmet black,,Diamond Grill,,Raining Pucks,Black Jersey,Green,Dosbrak
34,Standard,,Sweat,,Laser Eyes,,Black Jersey,Blue,Dosbrak
35,Standard,,Sweat,,,Gold Glove,Red Jersey,Orange,Dosbrak
36,Young,,,,Wayfarers,Raining Pucks,Blue Jersey,Black,Dosbrak
37,Standard,,Bloody,,Wayfarers,Fire Stick,Solana Jersey,Orange,Dosbrak
38,Young,,,,Wayfarers,,White Jersey,Black,Dosbrak
39,Standard,,,,Laser Eyes,Gold Stick,The Red Machine,Orange,Dosbrak
40,Old,,Bloody,,,,Solana Jersey,Red,Dosbrak
41,Standard,,,Gold Teeth,Bruised Eye,Gold Glove,Blue Jersey,Black,Dosbrak
42,Standard,,Sweat,Diamond Grill,,Fire Stick,Red Jersey,Orange,Dosbrak
43,Standard,,,,Bruised Eye,Ice Stick,Red Jersey,Red,Dosbrak
44,Standard,BA Snapback ,,,,Dentist,Blue Jersey,Orange,Dosbrak
45,Standard,Russian Hat,,Gold Teeth,Bruised Eye,Bloody Glove,Red Jersey,Green,Dosbrak
46,Old,,,,,Diamond Stick,Blue Jersey,Red,Dosbrak
47,Standard,,,,Bruised Eye,Diamond Stick,Black Jersey,Green,Dosbrak
48,Old,,,,Wayfarers,Gold Glove,Patriot,Red,Dosbrak
49,Standard,,,Jaws,Laser Eyes,Diamond Stick,Red Jersey,Hockey,Dosbrak
50,Standard,,,,,Bloody Glove,Solana Jersey,Blue,Dosbrak
51,Standard,,,,Wayfarers,Gold Glove,Solana Jersey,Red,Dosbrak
52,Old,Russian Hat,,,,Raining Pucks,White Jersey,Red,Dosbrak
53,Standard,BA Snapback ,,Jaws,,Fire Stick,Solana Jersey,Blue,Dosbrak
54,Standard,Russian Hat,,,Bruised Eye,Gold Glove,Red Jersey,Red,Dosbrak
55,Old,,Sweat,Jaws,Wayfarers,Gold Stick,White Jersey,Green,Dosbrak
56,Old,Hockey Helmet black,,,,Raining Pucks,Suit,Black,Dosbrak
57,Old,,Bloody,,Wayfarers,Gold Glove,Suit,Blue,Dosbrak
58,Standard,,,,,Gold Stick,Black Jersey,Orange,Dosbrak
59,Standard,Hockey Helmet black,Bloody,,,Gold Stick,Blue Jersey,Red,Dosbrak
60,Young,Hockey Helmet black,,,,Raining Pucks,Astronaut,Blue,Dosbrak
61,Standard,Hockey Helmet black,Bloody,,,Raining Pucks,Red Jersey,Blockasset,Dosbrak
62,Young,Russian Hat,,Jaws,,Gold Glove,Red Jersey,Green,Dosbrak
63,Standard,,,,,Bloody Glove,The Red Machine,Black,Dosbrak
64,Old,BA Snapback ,Sweat,,,Bloody Glove,Red Jersey,Black,Dosbrak
65,Standard,Russian Hat,,Diamond Grill,,Dentist,Red Jersey,Red,Dosbrak
66,Standard,,,,,Diamond Glove,Blue Jersey,Russia,Dosbrak
67,Standard,,,Gold Teeth,Wayfarers,Ice Stick,Red Jersey,Orange,Dosbrak
68,Standard,,,,,Gold Stick,Patriot,Blue,Dosbrak
69,Old,,,,Bruised Eye,Bloody Glove,Blue Jersey,Black,Dosbrak
70,Old,Russian Hat,,,,Dentist,Red Jersey,Blue,Dosbrak
71,Standard,,,,,Ice Stick,The Red Machine,Blue,Dosbrak
72,Old,,Sweat,,,Diamond Glove,Astronaut,Black,Dosbrak
73,Old,,,,Wayfarers,Gold Glove,Astronaut,Red,Dosbrak
74,Standard,,Bloody,,,Gold Stick,Black Jersey,Black,Dosbrak
75,Standard,,Sweat,,,Gold Stick,Red Jersey,Russia,Dosbrak
76,Old,,,,,Bloody Glove,Black Jersey,Black,Dosbrak
77,Standard,,Bloody,,,,Red Jersey,Russia,Dosbrak
78,Standard,Hocky Helmet Gold,,,,Ice Stick,Blue Jersey,Red,Dosbrak
79,Old,Russian Hat,,,,Bloody Glove,White Jersey,Orange,Dosbrak
80,Standard,BA Snapback ,,,,Dentist,Red Jersey,Red,Dosbrak
81,Standard,,,Jaws,,Dentist,Patriot,Blockasset,Dosbrak
82,Standard,,Bloody,,,Gold Stick,Red Jersey,Black,Dosbrak
83,Standard,,Sweat,Gold Teeth,,Raining Pucks,Red Jersey,Russia,Dosbrak
84,Standard,Russian Hat,,Jaws,Wayfarers,Gold Stick,Black Jersey,Black,Dosbrak
85,Standard,,,,Wayfarers,Diamond Glove,Black Jersey,Red,Dosbrak
86,Standard,BA Snapback ,,Jaws,,Bloody Glove,Black Jersey,Black,Dosbrak
87,Standard,BA Snapback ,,,,Raining Pucks,Solana Jersey,Blue,Dosbrak
88,Standard,Hockey Helmet black,Sweat,,,Gold Glove,Solana Jersey,Black,Dosbrak
89,Standard,Russian Hat,,,Wayfarers,Gold Stick,Red Jersey,Black,Dosbrak
90,Standard,,Sweat,Gold Teeth,,Bloody Glove,Black Jersey,Red,Dosbrak
91,Old,Crown,,,Wayfarers,Fire Stick,Blue Jersey,Green,Dosbrak
92,Standard,,Sweat,,Laser Eyes,Gold Glove,Patriot,Blue,Dosbrak
93,Standard,BA Snapback ,Sweat,,,Fire Stick,Black Jersey,Red,Dosbrak
94,Young,,,,Wayfarers,Fire Stick,Black Jersey,Blue,Dosbrak
95,Standard,BA Snapback ,,,,Raining Pucks,Patriot,Black,Dosbrak
96,Standard,BA Snapback ,,,,Gold Stick,White Jersey,Blockasset,Dosbrak
97,Standard,Russian Hat,,,,Ice Stick,White Jersey,Green,Dosbrak
98,Standard,BA Snapback ,,Jaws,Wayfarers,Bloody Glove,Red Jersey,Green,Dosbrak
99,Old,Hocky Helmet Gold,Bloody,,Wayfarers,Ice Stick,Blue Jersey,Red,Dosbrak
100,Standard,,,,Laser Eyes,Diamond Stick,Black Jersey,Orange,Dosbrak
101,Young,,,,Wayfarers,Raining Pucks,Blue Jersey,Blockasset,Dosbrak
102,Standard,Russian Hat,,Jaws,,Bloody Glove,Suit,Red,Dosbrak
103,Young,Hockey Helmet black,Sweat,,Bruised Eye,Gold Stick,Red Jersey,Green,Dosbrak
104,Standard,,,,,,Suit,Red,Dosbrak
105,Standard,,,Jaws,,,White Jersey,Green,Dosbrak
106,Standard,Russian Hat,Big Beard,,Laser Eyes,Fire Stick,Red Jersey,Black,Dosbrak
107,Standard,Russian Hat,,Jaws,Bruised Eye,,Blue Jersey,Black,Dosbrak
108,Young,,,,,Gold Glove,Black Jersey,Red,Dosbrak
109,Young,Hocky Helmet Gold,,Gold Teeth,Bruised Eye,,Solana Jersey,Blue,Dosbrak
110,Standard,Crown,Sweat,,,Gold Stick,Suit,Red,Dosbrak
111,Standard,,,,,Diamond Stick,Black Jersey,Red,Dosbrak
112,Standard,,Sweat,Jaws,Wayfarers,Gold Stick,White Jersey,Orange,Dosbrak
113,Old,Hockey Helmet black,,,Wayfarers,Fire Stick,White Jersey,Black,Dosbrak
114,Old,Russian Hat,,,,Ice Stick,White Jersey,Green,Dosbrak
115,Standard,,Sweat,,Bruised Eye,Gold Stick,Red Jersey,Black,Dosbrak
116,Old,,,,Wayfarers,,Blue Jersey,Black,Dosbrak
117,Standard,,,Jaws,Laser Eyes,Bloody Glove,White Jersey,Orange,Dosbrak
118,Old,,,,Bruised Eye,Ice Stick,Red Jersey,Black,Dosbrak
119,Young,,,,Bruised Eye,Gold Glove,Blue Jersey,Green,Dosbrak
120,Standard,BA Snapback ,Bloody,,,Gold Glove,Red Jersey,Black,Dosbrak
121,Young,,,Gold Teeth,Bruised Eye,,Red Jersey,Blue,Dosbrak
122,Young,,Sweat,Gold Teeth,Wayfarers,Dentist,Black Jersey,Green,Dosbrak
123,Standard,Russian Hat,Sweat,,,,Ice Ice Ovi,Black,Dosbrak
124,Standard,,Sweat,,Laser Eyes,Bloody Glove,Black Jersey,Orange,Dosbrak
125,Standard,Hockey Helmet black,,,Bruised Eye,,Black Jersey,Orange,Dosbrak
126,Standard,BA Snapback ,Sweat,,,Fire Stick,Red Jersey,Blue,Dosbrak
127,Standard,,Sweat,,,Ice Stick,Black Jersey,Red,Dosbrak
128,Standard,Hockey Helmet black,,,Bruised Eye,Gold Stick,Patriot,Orange,Dosbrak
129,Old,,Bloody,,,Raining Pucks,White Jersey,Black,Dosbrak
130,Young,Hockey Helmet black,,,,Bloody Glove,Patriot,Red,Dosbrak
131,Old,,Sweat,Diamond Grill,,Gold Stick,Patriot,Blue,Dosbrak
