Edition,Base,Head,Face,Mouth,Eyes,Accessory,Clothing,Background,Signature
0,Standard,BA Snapback,Sweat,Medal,,Confetti,Red Jersey,Orange,Dosbrak
1,Standard,Wooly Hat,,,Bloody Eye,Pigskin Ball,Red Jersey,Green,Dosbrak
2,Standard,Title Crown,,,Wayfarers,Yellow Card,White Jersey,Green,Dosbrak
3,Old,,,Medal,,Fire Ball,Black Jersey,Orange,Dosbrak
4,Standard,Winner Hat,,,Wayfarers,,Red Jersey,Red,Dosbrak
5,Old,,,,,Boot Award,White Jersey,Black,Dosbrak
6,Standard,Winner Hat,,Medal,,Fire Ball,Red Jersey,Black,Dosbrak
7,Standard,Wooly Hat,,Gold Mouthguard,,Captain Armband,Black Jersey,Green,Dosbrak
8,Standard,,,,Bloody Eye,Pigskin Ball,Blue Jersey,Blue,Dosbrak
9,Old,BA Snapback,,Medal,Laser Eyes,Pigskin Ball,Red Jersey,Black,Dosbrak
10,Standard,Title Crown,Sweat,,,Confetti,Patriot Flag,Black,Dosbrak
11,Standard,,,Gold Mouthguard,Bloody Eye,Captain Armband,Black Jersey,Black,Dosbrak
12,Young,,Sweat,,Laser Eyes,Confetti,Training Hoodie,Green,Dosbrak
13,Standard,,,,,League Trophy,Red Jersey Torn,Black,Dosbrak
14,Standard,,England Paint,Gold Mouthguard,,,,Black,Dosbrak
15,Young,,,Gold Mouthguard,Wayfarers,Fire Ball,Blue Jersey,Green,Dosbrak
16,Young,BA Snapback,,,,Pigskin Ball,White Jersey,Black,Dosbrak
17,Young,,,,,Pigskin Ball,Red Jersey,Blue,Dosbrak
18,Old,Wooly Hat,,,Wayfarers,Yellow Card,Red Jersey,Black,Dosbrak
19,Standard,,,,,Confetti,Blue Jersey,Black,Dosbrak
20,Standard,,,Gold Mouthguard,Wayfarers,Please Buy Rooney,Managers Jacket,Team,Dosbrak
21,Standard,,England Paint,Gold Mouthguard,Laser Eyes,,,Red,Dosbrak
22,Standard,,,,,Pigskin Ball,Blue Jersey,Orange,Dosbrak
23,Standard,,,,Wayfarers,European Trophy,Red Jersey,Blue,Dosbrak
24,Old,,,,,Captain Armband,Black Jersey,Green,Dosbrak
25,Standard,,,,Bloody Eye,League Trophy,Red Jersey Torn,Blue,Dosbrak
26,Old,Wooly Hat,Sweat,,Laser Eyes,,Red Jersey,Red,Dosbrak
27,Old,BA Snapback,Sweat,,Wayfarers,,Black Jersey,Red,Dosbrak
28,Old,,,,Bloody Eye,Please Buy Rooney,Suit,Black,Dosbrak
29,Old,,,Gold Mouthguard,,Please Buy Rooney,Red Jersey Torn,Green,Dosbrak
30,Standard,,Sweat,,Laser Eyes,League Trophy,Red Jersey Torn,Red,Dosbrak
31,Old,,,,Wayfarers,Pigskin Ball,White Jersey,Green,Dosbrak
32,Young,,Sweat,Gold Mouthguard,,Captain Armband,Black Jersey,Black,Dosbrak
33,Standard,BA Snapback,England Paint,,Bloody Eye,,,Black,Dosbrak
34,Standard,,Ad Beard,,Bloody Eye,,Suit,Black,Dosbrak
35,Standard,,,,,Captain Armband,Black Jersey,Blue,Dosbrak
36,Young,Wooly Hat,Sweat,,,Yellow Card,Red Jersey,Green,Dosbrak
37,Standard,,Sweat,,,,Blue Jersey,Blue,Dosbrak
38,Standard,Wooly Hat,,,Wayfarers,,Red Jersey,Red,Dosbrak
39,Standard,,,,Wayfarers,Confetti,Suit,Blue,Dosbrak
40,Old,,,,,Confetti,Suit,Orange,Dosbrak
41,Standard,,Sweat,,Wayfarers,Confetti,Blue Jersey,Orange,Dosbrak
42,Standard,Wooly Hat,Sweat,,Bloody Eye,,Red Jersey,Black,Dosbrak
43,Old,,,,Wayfarers,Fire Ball,Red Jersey,Black,Dosbrak
44,Young,Winner Hat,,,Bloody Eye,,Black Jersey,Blue,Dosbrak
45,Old,,Sweat,,,Please Buy Rooney,Suit,Black,Dosbrak
46,Standard,,,,Bloody Eye,,Black Jersey,Red,Dosbrak
47,Standard,,Sweat,Gold Mouthguard,,Pigskin Ball,Red Jersey,Black,Dosbrak
48,Standard,,,,,Pigskin Ball,Black Jersey,Red,Dosbrak
49,Standard,BA Snapback,,,,Please Buy Rooney,Managers Jacket,Black,Dosbrak
50,Standard,,,,Wayfarers,Pigskin Ball,Black Jersey,Team,Dosbrak
51,Old,Wooly Hat,,,,,Red Jersey,Blue,Dosbrak
52,Old,,,,,Confetti,Training Hoodie,Black,Dosbrak
53,Standard,,,,Bloody Eye,Captain Armband,Black Jersey,Green,Dosbrak
54,Standard,Title Crown,Sweat,,Wayfarers,Confetti,Blue Jersey,Orange,Dosbrak
55,Young,Winner Hat,,,Laser Eyes,,Red Jersey Torn,Red,Dosbrak
56,Standard,BA Snapback,Sweat,,,Yellow Card,Training Hoodie,Blockasset,Dosbrak
57,Standard,,England Paint,,Wayfarers,,,Green,Dosbrak
58,Standard,,,Medal,Wayfarers,Yellow Card,Suit,Red,Dosbrak
59,Old,,,,,Captain Armband,Black Jersey,Blue,Dosbrak
60,Standard,,,Medal,,Pigskin Ball,Red Jersey,Orange,Dosbrak
61,Standard,,,,,Yellow Card,Suit,Red,Dosbrak
62,Old,,,Gold Mouthguard,,Yellow Card,Red Jersey,Orange,Dosbrak
63,Standard,,,,,,Blue Jersey,Red,Dosbrak
64,Standard,BA Snapback,Sweat,,,Please Buy Rooney,Black Jersey,Blue,Dosbrak
65,Old,BA Snapback,,,Bloody Eye,League Trophy,Red Jersey Torn,Red,Dosbrak
66,Standard,,England Paint,Gold Mouthguard,,,,Blue,Dosbrak
67,Old,,,,Bloody Eye,Captain Armband,Black Jersey,Green,Dosbrak
68,Standard,Wooly Hat,,Diamond Grill,,Captain Armband,Black Jersey,Green,Dosbrak
69,Standard,Winner Hat,,,,Confetti,Red Jersey,Team,Dosbrak
70,Standard,Winner Hat,,,,Confetti,Training Hoodie,Orange,Dosbrak
71,Standard,Winner Hat,,,,Captain Armband,Black Jersey,Green,Dosbrak
72,Standard,BA Snapback,,,,Yellow Card,Suit,Red,Dosbrak
73,Standard,BA Snapback,England Paint,,,,,Orange,Dosbrak
74,Standard,Wooly Hat,,,Bloody Eye,League Trophy,Red Jersey,Green,Dosbrak
75,Standard,,,Medal,,Please Buy Rooney,Blue Jersey,Orange,Dosbrak
76,Standard,,,Medal,Laser Eyes,Please Buy Rooney,Blue Jersey,Green,Dosbrak
77,Standard,Winner Hat,Sweat,,Bloody Eye,Yellow Card,Suit,Green,Dosbrak
78,Old,BA Snapback,,,,Pigskin Ball,Suit,Orange,Dosbrak
